temp,atemp,hum,windspeed,cnt_day,season,dteday,mnth,weekday,weathersit,casual,registered,source,cnt_hour,season_label,hour,month,temp_group,hum_group,windspeed_group
0.344167,0.363625,0.805833,0.160446,985.0,1,2011-01-01,1,Saturday,2,0.0,0.0,Day,,Spring,0,1,Sedang,Tinggi,Lambat
0.363478,0.353739,0.696087,0.248539,801.0,1,2011-01-02,1,Sunday,2,0.0,0.0,Day,,Spring,0,1,Sedang,Sedang,Sedang
0.196364,0.189405,0.437273,0.248309,1349.0,1,2011-01-03,1,Monday,1,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Sedang
0.2,0.212122,0.590435,0.160296,1562.0,1,2011-01-04,1,Tuesday,1,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Lambat
0.226957,0.22927,0.436957,0.1869,1600.0,1,2011-01-05,1,Wednesday,1,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Lambat
0.204348,0.233209,0.518261,0.0895652,1606.0,1,2011-01-06,1,Thursday,1,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Lambat
0.196522,0.208839,0.498696,0.168726,1510.0,1,2011-01-07,1,Friday,2,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Lambat
0.165,0.162254,0.535833,0.266804,959.0,1,2011-01-08,1,Saturday,2,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Sedang
0.138333,0.116175,0.434167,0.36195,822.0,1,2011-01-09,1,Sunday,1,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Sedang
0.150833,0.150888,0.482917,0.223267,1321.0,1,2011-01-10,1,Monday,1,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Sedang
0.169091,0.191464,0.686364,0.122132,1263.0,1,2011-01-11,1,Tuesday,2,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Lambat
0.172727,0.160473,0.599545,0.304627,1162.0,1,2011-01-12,1,Wednesday,1,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Sedang
0.165,0.150883,0.470417,0.301,1406.0,1,2011-01-13,1,Thursday,1,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Sedang
0.16087,0.188413,0.537826,0.126548,1421.0,1,2011-01-14,1,Friday,1,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Lambat
0.233333,0.248112,0.49875,0.157963,1248.0,1,2011-01-15,1,Saturday,2,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Lambat
0.231667,0.234217,0.48375,0.188433,1204.0,1,2011-01-16,1,Sunday,1,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Lambat
0.175833,0.176771,0.5375,0.194017,1000.0,1,2011-01-17,1,Monday,2,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Lambat
0.216667,0.232333,0.861667,0.146775,683.0,1,2011-01-18,1,Tuesday,2,0.0,0.0,Day,,Spring,0,1,Dingin,Tinggi,Lambat
0.292174,0.298422,0.741739,0.208317,1650.0,1,2011-01-19,1,Wednesday,2,0.0,0.0,Day,,Spring,0,1,Dingin,Tinggi,Sedang
0.261667,0.25505,0.538333,0.195904,1927.0,1,2011-01-20,1,Thursday,2,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Lambat
0.1775,0.157833,0.457083,0.353242,1543.0,1,2011-01-21,1,Friday,1,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Sedang
0.0591304,0.0790696,0.4,0.17197,981.0,1,2011-01-22,1,Saturday,1,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Lambat
0.0965217,0.0988391,0.436522,0.2466,986.0,1,2011-01-23,1,Sunday,1,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Sedang
0.0973913,0.11793,0.491739,0.15833,1416.0,1,2011-01-24,1,Monday,1,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Lambat
0.223478,0.234526,0.616957,0.129796,1985.0,1,2011-01-25,1,Tuesday,2,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Lambat
0.2175,0.2036,0.8625,0.29385,506.0,1,2011-01-26,1,Wednesday,3,0.0,0.0,Day,,Spring,0,1,Dingin,Tinggi,Sedang
0.195,0.2197,0.6875,0.113837,431.0,1,2011-01-27,1,Thursday,1,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Lambat
0.203478,0.223317,0.793043,0.1233,1167.0,1,2011-01-28,1,Friday,2,0.0,0.0,Day,,Spring,0,1,Dingin,Tinggi,Lambat
0.196522,0.212126,0.651739,0.145365,1098.0,1,2011-01-29,1,Saturday,1,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Lambat
0.216522,0.250322,0.722174,0.0739826,1096.0,1,2011-01-30,1,Sunday,1,0.0,0.0,Day,,Spring,0,1,Dingin,Tinggi,Lambat
0.180833,0.18625,0.60375,0.187192,1501.0,1,2011-01-31,1,Monday,2,0.0,0.0,Day,,Spring,0,1,Dingin,Sedang,Lambat
0.192174,0.23453,0.829565,0.053213,1360.0,1,2011-02-01,2,Tuesday,2,0.0,0.0,Day,,Spring,0,2,Dingin,Tinggi,Lambat
0.26,0.254417,0.775417,0.264308,1526.0,1,2011-02-02,2,Wednesday,2,0.0,0.0,Day,,Spring,0,2,Dingin,Tinggi,Sedang
0.186957,0.177878,0.437826,0.277752,1550.0,1,2011-02-03,2,Thursday,1,0.0,0.0,Day,,Spring,0,2,Dingin,Sedang,Sedang
0.211304,0.228587,0.585217,0.127839,1708.0,1,2011-02-04,2,Friday,2,0.0,0.0,Day,,Spring,0,2,Dingin,Sedang,Lambat
0.233333,0.243058,0.929167,0.161079,1005.0,1,2011-02-05,2,Saturday,2,0.0,0.0,Day,,Spring,0,2,Dingin,Tinggi,Lambat
0.285833,0.291671,0.568333,0.1418,1623.0,1,2011-02-06,2,Sunday,1,0.0,0.0,Day,,Spring,0,2,Dingin,Sedang,Lambat
0.271667,0.303658,0.738333,0.0454083,1712.0,1,2011-02-07,2,Monday,1,0.0,0.0,Day,,Spring,0,2,Dingin,Tinggi,Lambat
